Português,Espanhol,Warao,,Contexto/categoria
Duzentos,Doscientos,Warao mojabasi arai Manamo,,Número
Trezentos,Trescientos,"Warao mojoreku tuma arai 
warao Mojabasi  ",,Número
Quatrocentos,Cuatrocientos,Warao mojoreku tuma Manamo ,,Número
Quinhentos,Quinientos,Warao mojoreku tuma manamo arai warao Mojabasi,,Número
Seiscentos,Seiscientos,Warao mojoreku tuma Dijanamo,,Número
Setecentos,Setecientos,Warao mojoreku tuma dijanamo arai warao Mojabasi,,Número
Oitocentos,Ochocientos,Warao mojoreku tuma Orabakaya,,Número
Novecentos,Novecientos,Warao mojoreku tuma orabakaya arai warao Mojabasi.,,Número
Mil,Mil,Warao mojoreku tuma  Mojabasi,,Número
Dois mil,Dos mil,Warao mojoreku tuma Mojoreku,,Número
Já/Agora,Ahora,Amawitu,,Tempo
Ontem,Ayer,Kaje,,Tempo
Hoje,Hoy,Ama,,Tempo
Amanhã,Mañana,Jake,,Tempo
Antes,Antes,Ebe,,Tempo
Depois,Después,Mate,,Tempo
Segunda-feira,Lunes,Yaota Jisaka,,Dias da semana
Terça-feira,Martes,Yaota Manamo,,Dias da semana
Quarta-feira,Miércoles,Yaota Dianamo,,Dias da semana
Quinta-feira,Jueves,Yaota Orabakaya,,Dias da semana
Sexta-feira,Viernes,Yaota Mojabasi,,Dias da semana
Sábado,sábado,Sabaro,,Dias da semana
Domingo,Domingo,Misa,,Dias da semana
Janeiro,Enero,Waniko jisaka,,Meses do ano
Fevereiro,Febrero,Waniko Manamo,,Meses do ano
Março,Marzo,Waniko Dianamo,,Meses do ano
Abril,Abril,Waniko Orabakaya /Dioso Atoma Korukitane,,Meses do ano
Maio,Mayo,Waniko Mojabasi/Dani tuma aoriwaka,,Meses do ano
Junho,Junio,Waniko Mojabasi arai jisaka/ Dima tuma aoriwaka,,Meses do ano
Julho,Julio,Waniko Mojabasi arai manamo/ Joida,,Meses do ano
Agosto,Agosto,Waniko mojabasi arai dianamo/ Je Asinaria,,Meses do ano
Setembro,Septiembre,Waniko mojabasi arai orabakaya/ Karata warakitane,,Meses do ano
Outubro,Octubre,Waniko mojabasi arai mojereku /Inawaja,,Meses do ano
Novembro,Noviembre,Waniko mojoreku arai jisaka/ Muju mikitane,,Meses do ano
Dezembro,Diciembre,Waniko mojoreku arai manamo/Oriwaka,,Meses do ano
13h/Treze horas,Trece horas/Una de la tarde,Yaja mojoreku arai dianamo/ yaja jisaka,,Horas do dia
14h/Quatorze horas,Catorce horas/Dos de la tarde,Yaja mojoreku arai orabakaya/ yaja manamo/,,Horas do dia
15h/Quinze horas,Quince horas/Tres de la tarde,Yaja mojoreku arai mojabasi/ yaja dianamo/,,Horas do dia
16h/Dezesseis horas,Dieciséis horas/Cuatro de la tarde,Yaja mojoreku arai mojomatana jisaka /yaja orabakaya,,Horas do dia
17h/Dezessete horas,Diecisiete horas/Cinco de la tarde,Yaja mojoreku arai mojomatana  manamo/yaja mojabasi,,Horas do dia
18h/Dezoito horas,Dieciocho horas/Seis de la tarde,Yaja mojoreku arai mojamata dianamo/yaja mojomatana jisaka/,,Horas do dia
19h/Dezenove horas,Diecinueve horas/Siete de la tarde,Yaja mojoreku arai mojomatana orabakaya/yaja mojomatana,,Horas do dia
20h/Vinte horas,Veinte horas/Ocho de la noche,Yaja Warao /yaja dianamo,,Horas do dia
21h/Vinte e uma horas,Veintiuna horas/Nueve de la noche,Yaja warao jisaka arai jisaka/Yaja mojabasi orabakaya/,,Horas do dia
22h/Vinte e duas horas,Veintidós horas/Diez de la noche,Yaja warao jisaka arai manamo/ Yaja mojoreku,,Horas do dia
23h/Vinte e três horas,Veintitrés horas/ Once de la noche,Yaja  Warao jisaka ara dianamo/ Yaja mojoreku arai jisaka/,,Horas do dia
Meia-noite,Medianoche,Imajanaida akari/Akari Ima akari,,Horas do dia
E meia,Y media,Akari,,Horas do dia
Onze horas,Once horas,Yaja mojoreku arai jisaka,,Horas do dia
Malha,Malla,Jiyaka ajara aisiko,,Roupa
Camisa,Camisa,Jiyaka abotona isiko,,Roupa
Calça,Pantalones,Kabisikuju,,Roupa
Bermuda,Bermuda,Kabisikuju kaba,,Roupa
Cueca,Calzoncillo,Nibora ajiyaka eku,,Roupa
Calcinha,Braga / Bombacha,Tida ajiyaka eku,,Roupa
Vestido,Vestido,Jiyaka,,Roupa
Saia,Falda / Pollera,Naba akari,,Roupa
Meias,Calcetines,Omu abatu,,Roupa
Sapato (Calçado),Zapato,Omu Anoko,,Roupa
Boné,Gorra,Yasi,,Roupa
Azul,Azul,Jebura,,Cor
Vermelho,Rojo,Simo,,Cor
Amarelo,Amarillo,Jene,,Cor
Verde,Verde,Jebura,,Cor
Branco,Blanco,Joko,,Cor
Preto,Negro,Ana,,Cor
Laranja,Naranja,Jene,,Cor
Rosa,Rosa/ Rosado,Simo simo,,Cor
Mãe,Madre (Mamá),Dani,,Família
Pai,Padre (Papá),Dima,,Família
Filha,Hija,Aukatida,,Família
Filho,Hijo,Auka,,Família
Neto (Neta),Nieto (Nieta),Anatoro,,Família
Primo (Prima),Primo (Prima),Maraisama,,Família
Irmão,Hermano,Daje,,Família
Irmã,Hermana,Daiba,,Família
Cunhada (Cunhado),Cuñada (Cuñado),Mabitida/Damitu,,Família
Tio,Tío,Daku,,Família
Tia,Tía,Daukatida,,Família
Avó,Abuela,Natu,,Família
Avô,Abuelo,Nobo,,Família
Esposo,Marido (Esposo),Anibora,,Família
Mulher,Mujer (Esposa),Atida,,Família
Nenê,Bebé,Noboto,,Família
Namorado (Namorada),Novio (Novia),Aturubita,,Família
Hotel,Tatoketomän,Dara anijakana amuara isiko,,Lugar
Restaurante,Tato,Najoro anijakana amuara isiko,,Lugar
Casa,Pereka,Janoko,,Lugar
Apartamento,Departamento,Dara amuara isiko Apartamento,,Lugar
Quitinete,Departamento de un ambiente,Dara ajanoko yaroturu,,Lugar
Barraco,Casa Popular,Janoko yakera,,Lugar
Cozinha,Cocina,Sabanoko,,Ambientes da Casa
Quarto,Dormitorio,Ubanoko,,Ambientes da Casa
Sala,Salón,mokaintoma Karata tiribunoko,,Ambientes da Casa
Refeitório,Comedor,Najoro noko,,Ambientes da Casa
Banheiro,Baño,Kiminoko ,,Ambientes da Casa
Vaso sanitário, Inodoro,Kiminoko ajuku ekida,,Ambientes da Casa
Chuveiro,Ducha,Jo anakana,,Objetos e mobília da casa
Quintal,Patio,Kotubunoko,,Ambientes da Casa
Cama,Cama,Ubanoko anoko,,Objetos e mobília da casa
Cadeira,Silla,Dujunoko,,Objetos e mobília da casa
Mesa,Mesa,Jabatanoko,,Objetos e mobília da casa
Guarda-roupas,Ropero / Guardarropa,Jiyaka anoko,,Objetos e mobília da casa
Colchão,Colchón,Arai Ubanoko,,Objetos e mobília da casa
Toalha,Toalla,Tejo berenoko,,Objetos e mobília da casa
Lençol,Sábana,Simara,,Objetos e mobília da casa
Cobertor,Edredón / Manta / Acolchado,Simaraida,,Objetos e mobília da casa
Travesseiro,Almohada,Kuanoko,,Objetos e mobília da casa
Chave / Cadeado,Llave / Candado,Itatanoko,,Objetos e mobília da casa
Direção,Dirección,Omunoko kasabamo,,Direção
À direita,A la derecha,Mojo tamasaba,,Direção
À esquerda,A la Izquierda,Mojo,,Direção
Direto,Directo,Tamasaba,,Direção
Alugar,Alquilar o arrendar,Ubanoko amuara isiko,,Para alugar uma casa
Aluguel,Alquiler o arriendo,Ubanoko burata amuara isiko,,Para alugar uma casa
Água,Agua,Jo amuara isiko,,Para alugar uma casa
Energia elétrica,Energía eléctrica,Abeje amuara isiko,,Para alugar uma casa
Gás,Gas,Jisabanoko amuara isiko,,Para alugar uma casa
